Model,Set,Fold,Max_n,RMSE_n,MAE_n,MAPE_n,Max,RMSE,MAE,MAPE
GPR,Train,2,0.45345624896907555,0.1623407424599958,0.13150967301223548,9849624.702825965,145.55945591907326,52.111378329658656,42.214605036927594,38.08134021539348
GPR,Test,2,0.4235992913819445,0.1859693909578647,0.1573277262418233,70.45393361976078,135.9753725336042,59.69617449747458,50.502200123625286,45.84042056307321
KNN,Train,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,2,0.46708317501726504,0.19827201228463956,0.16449543370511988,70.67542889235361,149.93369918054208,63.6453159433693,52.80303421934349,46.511695393570314
GradientBoosting,Train,2,0.4377910170057673,0.13656226055649703,0.10962578800710837,6972404.306534934,140.5309164588513,43.83648563863555,35.18987795028178,31.847839738828164
GradientBoosting,Test,2,0.44521572291457123,0.20614619030299955,0.1741708607788756,72.44109539599808,142.9142470555774,66.17292708726285,55.908846310019086,48.17382204506299
RandomForest,Train,3,0.3578880657821468,0.11007413442356447,0.08703237271584899,4138407.492523801,114.88206911606915,35.33379714996419,27.93739164178753,24.49018187353616
RandomForest,Test,3,0.40121490992209824,0.1749495772346263,0.14340027615795287,56.85140265972386,128.78998608499353,56.15881429231504,46.03148864670286,35.38672056851165
GPR,Train,3,0.4929442254775567,0.16787168427114194,0.13619618021862803,9738607.974040287,158.23509637829568,53.88681065103657,43.718973850179594,39.89905082056395
GPR,Test,3,0.404599748287896,0.16354029266217926,0.1332878259428763,54.77235167760465,129.87651920041463,52.49643394455954,42.78539212766329,32.15725145655464
KNN,Train,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KNN,Test,3,0.5194895397104384,0.1791458264442033,0.13978916178585096,54.07812310347258,166.75614224705072,57.50581028858925,44.87232093325815,33.42001500441725
GradientBoosting,Train,3,0.4316419547643332,0.1423769488072828,0.11560906221544126,6499731.975853994,138.55706747935096,45.70300056713778,37.11050897115665,33.42137809606079
